country,stocklong,country,mean.5yr,trend.50yr.coef,Value,FAO group,dollar_per_tonne
USA,English sole_Pacific Coast,USA,12.80182236,-0.006521697,4.728692719,"Flounders, halibuts, soles",3050
USA,Flathead sole_Bering Sea / Aleutian Islands,USA,6.030324491,0.014287811,6.032513396,"Flounders, halibuts, soles",3050
USA,Flathead sole_Gulf of Alaska,USA,8.275158769,0.020105207,5.415652302,"Flounders, halibuts, soles",3050
USA,Gag Gulf of Mexico,USA,26.3005455,0.013888179,3.549904702,Miscellaneous coastal fishes,3050
USA,Gag Southern Atlantic coast,USA,26.66562142,0.002188743,1.658418535,Miscellaneous coastal fishes,3050
USA,Golden king crab_Eastern Aleutian Islands,USA,6.770509644,0.013533967,4.022459118,"Crabs, sea-spiders",4220
USA,Golden king crab_Western Aleutian Islands,USA,5.88747824,0.014566348,3.258725187,"Crabs, sea-spiders",4220
USA,Goosefish_Gulf of Maine / Northern Georges Bank,USA,10.81385254,0.022548938,5.149631719,Miscellaneous demersal fishes,2930
USA,Goosefish_Southern Georges Bank / Mid-Atlantic,USA,12.31150601,0.026242787,5.757749677,Miscellaneous demersal fishes,2930
USA,Greater amberjack_Gulf of Mexico,USA,26.3005455,0.013888179,0.048409139,Miscellaneous pelagic fishes,850
USA,Greenland halibut_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,4.9145318,"Flounders, halibuts, soles",3050
USA,Haddock_Eastern Georges Bank,USA,12.83124721,0.031927245,4.608266388,"Cods, hakes, haddocks",1700
USA,Haddock_Georges Bank,USA,12.35437945,0.025644008,6.171772829,"Cods, hakes, haddocks",1700
USA,Haddock_Gulf of Maine,USA,10.16653888,0.018364124,4.368240161,"Cods, hakes, haddocks",1700
USA,Herring Northwestern Atlantic Coast,USA,10.81385254,0.022548938,6.019031075,"Herrings, sardines, anchovies",660
USA,Kamchatka flounder_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,4.960577026,"Flounders, halibuts, soles",3050
USA,Kelp greenling_Oregon,USA,12.21942088,0.00345721,-0.070286993,Miscellaneous coastal fishes,3050
USA,Lingcod_Southern Pacific Coast,USA,14.95119709,0.001556152,3.001957854,Miscellaneous coastal fishes,3050
USA,Longnose skate_Pacific Coast,USA,12.69918271,0.00358723,2.117130344,"Sharks, rays, chimaeras",1100
USA,Longspine thornyhead_Pacific Coast,USA,12.69918271,0.00358723,4.429527191,Miscellaneous demersal fishes,2930
USA,Mutton snapper Southern Atlantic coast and Gulf of Mexico,USA,26.66562142,0.002188743,1.953098536,Miscellaneous coastal fishes,3050
USA,Northern rock sole_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,7.121369086,"Flounders, halibuts, soles",3050
USA,Northern rockfish_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,5.753166748,Miscellaneous demersal fishes,2930
USA,Northern rockfish_Western / Central Gulf of Alaska,USA,6.916453932,0.014136839,4.73166318,Miscellaneous demersal fishes,2930
USA,Other Flatfish Complex_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,5.724613984,"Flounders, halibuts, soles",3050
USA,Other Skates Complex_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,4.788790899,"Sharks, rays, chimaeras",1100
USA,Pacific chub mackerel_Pacific Coast,USA,12.69918271,0.00358723,3.817786169,Miscellaneous pelagic fishes,850
USA,Pacific cod_Aleutian Islands,USA,6.180397204,0.014507572,4.891464296,"Cods, hakes, haddocks",1700
USA,Pacific cod_Bering Sea,USA,3.66225086,0.014031137,6.216736631,"Cods, hakes, haddocks",1700
USA,Pacific cod_Gulf of Alaska,USA,9.160030198,0.022260091,4.182705653,"Cods, hakes, haddocks",1700
USA,Pacific hake_Pacific Coast,USA,12.69918271,0.00358723,7.679824104,"Cods, hakes, haddocks",1700
USA,Pacific halibut_Pacific Coast / Alaska,USA,11.8501423,0.005434018,5.495999434,"Flounders, halibuts, soles",3050
USA,Pacific ocean perch_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,7.05977174,Miscellaneous demersal fishes,2930
USA,Pacific ocean perch_Gulf of Alaska,USA,9.160030198,0.022260091,6.240331399,Miscellaneous demersal fishes,2930
USA,Pacific ocean perch_Pacific Coast,USA,12.69918271,0.00358723,3.426309418,Miscellaneous demersal fishes,2930
USA,Pacific sardine Pacific Coast,USA,12.69918271,0.00358723,3.760409105,"Herrings, sardines, anchovies",660
USA,Pacific sardine_Northern Subpopulation,USA,12.69918271,0.00358723,2.900378193,"Herrings, sardines, anchovies",660
USA,Petrale sole_Pacific Coast,USA,12.69918271,0.00358723,3.564183202,"Flounders, halibuts, soles",3050
USA,Pink shrimp_Gulf of Mexico,USA,26.3005455,0.013888179,4.189642681,"Shrimps, prawns",4500
USA,Pollock_Gulf of Maine / Georges Bank,USA,10.16653888,0.018364124,5.715711046,"Cods, hakes, haddocks",1700
USA,Red king crab_Bristol Bay,USA,5.255643972,0.017035134,4.458253651,"Crabs, sea-spiders",4220
USA,Red king crab_Norton Sound,USA,3.406411838,1.256621987,2.211529856,"Crabs, sea-spiders",4220
USA,Red porgy_Southern Atlantic Coast,USA,26.66562142,0.002188743,0.833505306,Miscellaneous coastal fishes,3050
USA,Rex sole Gulf of Alaska,USA,9.160030198,0.022260091,4.955967893,"Flounders, halibuts, soles",3050
USA,Rougheye rockfish Bering Sea and Aleutian Islands,USA,5.183902327,0.011849879,2.990367911,Miscellaneous demersal fishes,2930
USA,Rougheye rockfish Gulf of Alaska,USA,9.160030198,0.022260091,3.671987586,Miscellaneous demersal fishes,2930
USA,Sablefish_Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,USA,2.537762372,0.338223698,5.416766847,Miscellaneous demersal fishes,2930
USA,Sablefish_Pacific Coast,USA,12.69918271,0.00358723,5.098129554,Miscellaneous demersal fishes,2930
USA,Sculpin Complex_Gulf of Alaska,USA,9.160030198,0.022260091,4.541338615,Miscellaneous demersal fishes,2930
USA,Scup_Atlantic Coast,USA,14.39279232,0.03264172,6.310654553,Miscellaneous coastal fishes,3050
USA,Sea scallop_Northwestern Atlantic Coast,USA,10.81385254,0.022548938,6.676245579,"Scallops, pectens",2650
USA,Shortraker rockfish_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,4.227661869,Miscellaneous demersal fishes,2930
USA,Shortspine thornyhead_Gulf of Alaska,USA,9.160030198,0.022260091,5.553442027,Miscellaneous demersal fishes,2930
USA,Shortspine thornyhead_Pacific Coast,USA,12.69918271,0.00358723,5.994325575,Miscellaneous demersal fishes,2930
USA,Snow crab_Bering Sea,USA,3.66225086,0.014031137,5.997509999,"Crabs, sea-spiders",4220
USA,Snowy grouper Southern Atlantic coast,USA,26.66562142,0.002188743,0.196347729,Miscellaneous demersal fishes,2930
USA,Southern Tanner crab_Bering Sea,USA,3.66225086,0.014031137,5.34309954,"Crabs, sea-spiders",4220
USA,Spanish mackerel Southern Atlantic coast,USA,27.52899358,0.005822384,1.134751335,Miscellaneous pelagic fishes,850
