,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
64,Blue whiting Northeast Atlantic,Multinational_ICES Other Working Groups,Northeast Atlantic,1981,37,6,2.073684211,0.116212948,0.137482187,0.021269238,0.213630931,0.213259207,0.012412661,Miscellaneous demersal fishes,2850
65,Fourspotted megrim ICES 8c-9a,Multinational_ICES Other Working Groups,ICES 8c-9a,1986,31,6,1.890697674,-0.107003882,0.032436405,0.139440287,0.203827743,0.192311584,0.153696713,"Flounders, halibuts, soles",2700
66,Hake ICES 3a-4-6-7-8abd,Multinational_ICES Other Working Groups,ICES 3a-4-6-7-8abd,1978,40,7,3.813664596,-0.095071359,0.052519792,0.147591152,0.234255276,0.594532937,0.410948313,"Cods, hakes, haddocks",1650
67,Hake ICES 8c-9a,Multinational_ICES Other Working Groups,ICES 8c-9a,1982,36,7,0.581508516,0.308787252,0.329794181,0.021006929,0.194991378,0.16142431,0.06230543,"Cods, hakes, haddocks",1650
68,Herring ICES 22-24-3a,Multinational_ICES Other Working Groups,ICES 22-24-3a,1991,27,7,0.351351351,0.199718347,0.22194318,0.022224833,0.131357148,0.127674109,0.018800893,"Herrings, sardines, anchovies",660
69,Herring ICES 5a-7bc,Multinational_ICES Other Working Groups,ICES 5a-7bc,1957,61,6,0.257746479,0.148239547,-0.899471275,-1.047710822,0.735224297,1.437955885,1.308337064,"Herrings, sardines, anchovies",660
70,Herring Irish Sea,Multinational_ICES Other Working Groups,Irish Sea,1980,38,6,1.7578125,0.012000073,-0.33294241,-0.344942482,0.405011941,0.303922745,0.353088036,"Herrings, sardines, anchovies",660
71,Herring West of Scotland,Multinational_ICES Other Working Groups,West of Scotland,1957,56,2,0.554347826,-0.206572266,-0.159487939,0.047084327,0.317111245,0.171497049,0.145614196,"Herrings, sardines, anchovies",660
72,Mackerel ICES Northeast Atlantic,Multinational_ICES Other Working Groups,European Union,1980,37,5,0.851485149,0.219490511,0.076620757,-0.142869754,0.259648853,0.075513703,0.279001239,Miscellaneous demersal fishes,2850
73,Megrim ICES 8c-9a,Multinational_ICES Other Working Groups,ICES 8c-9a,1986,32,7,1.121076233,0.064735355,0.072850621,0.008115266,0.246593322,0.238492851,0.016337434,Miscellaneous pelagic fishes,640
74,Sprat North Sea,Multinational_ICES Other Working Groups,European Union,1974,44,5,0.736936937,0.355290531,0.29404579,-0.061244741,0.238603259,0.22479179,0.086044012,"Herrings, sardines, anchovies",660
75,Atlantic cod Irish Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Irish Sea,1968,49,6,0.656050955,-0.041014808,-0.087986096,-0.046971288,0.360689615,0.30041203,0.085088729,"Cods, hakes, haddocks",1650
76,Atlantic cod West of Scotland,Multinational_ICES Working Group on Celtic Seas Ecosystems,West of,1981,36,6,0.061386139,0.185304985,0.176860645,-0.00844434,0.442540397,0.422460553,0.023188244,"Cods, hakes, haddocks",1650
77,Common sole Celtic Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Celtic Sea,1971,47,7,0.343582888,0.11627816,0.150244762,0.033966602,0.112990232,0.127516651,0.031396804,"Flounders, halibuts, soles",2700
